ID_Uzorka;GPS_LAT;GPS_LONG
1;18,479753;77,382838
2;18,483771;77,383624
3;18,459651;77,405519
4;18,480828;77,402761
5;18,459755;77,382775
6;18,476462;77,388941
7;18,493988;77,370821
8;18,482308;77,383302
9;18,493277;77,397004
10;18,489417;77,39801
11;18,468615;77,389155
12;18,483293;77,38191
13;18,486805;77,383486
14;18,468386;77,387942
15;18,484131;77,401137
16;18,480058;77,375878
17;18,487054;77,380958
18;18,474752;77,384583
19;18,47913;77,392808
20;18,477914;77,393632
21;18,484686;77,386669
22;18,495245;77,386903
23;18,4612;77,386062
24;18,475261;77,377238
25;18,450156;77,385569
26;18,48264;77,375418
27;18,502126;77,394731
28;18,471068;77,380226
29;18,495715;77,392964
30;18,487494;77,380518
31;18,45607;77,378892
32;18,466769;77,387527
33;18,479079;77,381931
34;18,491409;77,387504
35;18,487983;77,392788
36;18,486429;77,380037
37;18,453684;77,376189
38;18,467531;77,38829
39;18,472959;77,381196
40;18,471465;77,376642
41;18,49752;77,394281
42;18,487362;77,378006
43;18,481777;77,413945
44;18,478338;77,393495
45;18,501402;77,389862
46;18,477291;77,377619
47;18,49706;77,383863
48;18,48031;77,38648
49;18,470802;77,391812
50;18,471653;77,375792
51;18,49074;77,384372
52;18,475149;77,385964
53;18,484325;77,407609
54;18,47772;77,385775
55;18,472203;77,387697
56;18,485072;77,390971
57;18,481019;77,397592
58;18,459414;77,400506
59;18,462913;77,412123
60;18,483859;77,395337
61;18,492488;77,397409
62;18,469439;77,373394
63;18,461798;77,398962
64;18,479907;77,394527
65;18,488178;77,411452
66;18,491731;77,394706
67;18,476288;77,379857
68;18,4747;77,379726
69;18,498543;77,391943
70;18,481855;77,378099
71;18,47517;77,393264
72;18,466516;77,411277
73;18,484098;77,403195
74;18,488529;77,38327
75;18,484164;77,396387
76;18,48392;77,394574
77;18,48746;77,385298
78;18,462997;77,385699
79;18,484498;77,36276
80;18,479054;77,385576
81;18,481751;77,375374
82;18,468347;77,379275
83;18,470486;77,396929
84;18,486236;77,399797
85;18,474483;77,38176
86;18,482259;77,412877
87;18,484346;77,395437
88;18,490897;77,393012
89;18,485898;77,381904
90;18,475247;77,37669
91;18,478933;77,371438
92;18,473191;77,389934
93;18,46785;77,39129
94;18,476587;77,395439
95;18,462864;77,389382
